Duplication,Title,Image,Power,Effect,Description,Big_Image
,Golden Metal Cooler,res://card/battle/image/29_Golden Metal Cooler.png,5100,,​​Meta-Coolers are mass-produced cyborg clones of Cooler created by the Big Gete Star. Cooler transforms into Golden Cooler during his confrontation with Goku Prison in Planet Saga,res://card/battle/image/742x1122/29_Golden Metal Cooler.png
,Modified Reborn Janemba,res://card/battle/image/30_Modified Reborn Janemba.png,5200,,"Birthed by the overloaded Soul Cleansing Machine in Other World. With the data from Super Saiyan 4 Xeno Goku and Xeno Vegeta,Dr. W awakened Janemba in a new Modified state",res://card/battle/image/742x1122/30_Modified Reborn Janemba.png
,SSJ 4 Limit Breaker Goku,res://card/battle/image/31_SSJ 4 Limit Breaker Goku.png,5300,[ Zenkai ],"Super Full Power Saiyan 4 Limit Breaker (""Ultra Full Power Saiyan 4 Limit Breaker"") is an advancement of the Super Full Power Saiyan 4 state.",res://card/battle/image/742x1122/31_SSJ 4 Limit Breaker Goku.png
,Masked Saiyan SSJ Rose 3,res://card/battle/image/32_Masked Saiyan SSJ Rose 3.png,5500,"[ Zenkai ] Khi tồn tại trong vũ trụ giả do cây vũ trụ tạo ra,  Black Goku có thể hấp thụ sức mạnh của vũ trụ và tăng 2000 điểm sm",Super Saiyan Rosé 3 is a form achieved by the Crimson-Masked Saiyan. This form serves as Super Saiyan Rosé's divine equivalent to the Super Saiyan 3 transformation and a direct successor to his special Super Saiyan Rosé 2 transformation.,res://card/battle/image/742x1122/32_Masked Saiyan SSJ Rose 3.png
,Supreme Kai of Time Aeos,res://card/battle/image/33_Supreme Kai of Time Aeos.png,5600,Đóng băng thời gian: Chọn 1 lá bất kỳ trên tay đối phương và lật lên -lá đó bị dừng hoạt động đến khi người chơi không còn lá nào hoặc aeos bị chết (Không có tác dụng với các lá thực thể siêu phàm),"Aeos is the former Supreme Kai of Time and the leader of the Warriors in Black. She created the Super Space-Time Tournament as a twisted way to decide history, but there maybe good intentions behind Aeos's schemes",res://card/battle/image/742x1122/33_Supreme Kai of Time Aeos.png
,Vegeta Dark Aura,res://card/battle/image/34_Vegeta Dark Aura.png,5800,[ Zenkai ] Miễn nhiễm với Ki tà ác của Cumber,"During the New Space-Time War Saga, Vegeta is affected by the Evil Aura once more, but after a moment of self-reflection, Vegeta overcomes it and controls the dark energy for himself, pushing his power to an astounding level",res://card/battle/image/742x1122/34_Vegeta Dark Aura.png
,Cell Max,res://card/battle/image/35_Cell Max.png,6200,,"Cell Max is a Bio-Android and an improved variation of Cell created by Dr. Hedo for the revived Red Ribbon Army. Because he was prematurely activated, his intelligence was incompleted",res://card/battle/image/742x1122/35_Cell Max.png
,Broly Legendary Super Saiyan,res://card/battle/image/36_Broly Legendary Super Saiyan.png,6200,[ Zenkai ],"The Legendary Super Saiyan transformation. It is the full-power version of his Super Broly state, which combines the Great Monkey Transformation with the traditional Super Saiyan form, resulting in a being of inconceivable power",res://card/battle/image/742x1122/36_Broly Legendary Super Saiyan.png
,Jiren The Gray,res://card/battle/image/37_Jiren The Gray.png,6300,,"The most powerful member of the Pride Troopers. An extraordinary powerful being, Jiren is considered to be one of the strongest mortals in all of the multiverse, outclassing even his Universe's God of Destruction",res://card/battle/image/742x1122/37_Jiren The Gray.png
,Planet-Eater Moro,res://card/battle/image/38_Planet-Eater Moro.png,6400,Copy được 1 kỹ năng của các lá đang có mặt trên sân hoặc bất kỳ hiệu ứng nào xuất hiện trong lúc moro có trên sân,"Moro is a powerful wizard who threatened Universe 7 about ten million years ago. Ultimately, the Grand Supreme Kai uses up his god power and successfully seals away Moro's magic where he is then imprisoned by the Galactic Police",res://card/battle/image/742x1122/38_Planet-Eater Moro.png
,Bounty Hunter Granolah,res://card/battle/image/39_Bounty Hunter Granolah.png,6600,"Chọn 1 lá bài úp của mỗi bên và tấn công lá đó, nếu điếm sức mạnh bé hơn Granolah thì lá đó sẽ chết và ngược lại. ","Granolah is the sole survivor of the Cerealian race that was annihilated by the Saiyan Army and a bounty hunter, formerly employed by the Heeters.",res://card/battle/image/742x1122/39_Bounty Hunter Granolah.png
,Heart Ultimate Form,res://card/battle/image/40_Heart Ultimate Form.png,7000,Gravity: Chỉ định 1 lá bài của đối phương úp xuống (lá này bằng 50% sm heart trở xuống) -Khi áp dụng kỹ năng này lên lá lagss của team mình thì tạo thành khối pha lê trọng lực có sức mạnh là 5000 điểm,"Known as the God Hater, he seeks to liberate mortals from the stranglehold of the divine pantheon, especially Zeno. He is also the leader of the Core Area Warriors",res://card/battle/image/742x1122/40_Heart Ultimate Form.png
,Beast Gohan,res://card/battle/image/41_Beast Gohan.png,7200,[ Zenkai ] Khi người chơi đã trải qua 1 loạt các sự kiện rất ức chế thì lá bài này tăng 500 điểm sm (Phải chứng minh dc),"Gohan Beast is an evolved form of Gohan's Ultimate state, stemming from Gohan's continued awakenings since he was a child, and is currently his strongest transformation",res://card/battle/image/742x1122/41_Beast Gohan.png
,Ultra Ego Vegeta,res://card/battle/image/42_Ultra Ego Vegeta.png,7300,"[ Zenkai ] Ultra Ego: Sau mỗi trận chiến,lá bài này tăng thêm 300 điểm sm",Ultra Ego is a powerful divine transformation used by Vegeta. This state is attained by one who has received a proper God of Destruction training and has gained the ability to use the powers of one,res://card/battle/image/742x1122/42_Ultra Ego Vegeta.png
,Goku Ultra Instinct,res://card/battle/image/43_Goku Ultra Instinct.png,7400,"[ Zenkai ]  Khi bị đối thủ vượt qua bởi điểm số sức mạnh của đối thủ, thay vì phải chết, lá bài này có thể thực hiện ""kỹ năng né tránh"" và quay về trên tay đối phương. Sau đó lá bài này chỉ còn 1 lượt","Ultra Instinct is an ultimate technique that separates the consciousness from the body, allowing it to move and fight independent thoughts and emotions. It is an extraordinarily difficult technique to master, even for the Hakaishin.",res://card/battle/image/742x1122/43_Goku Ultra Instinct.png
,Dark King Fu,res://card/battle/image/44_Dark King Fu.png,8000,,"Fu is the artificial son of the demon Towa and her other creation Mira. While mistakenly believed to be evil, he prefers warping timelines to help others instead of causing meaningless destruction through his alterations",res://card/battle/image/742x1122/44_Dark King Fu.png
,SSJ4 Limit Breaker Broly,res://card/battle/image/45_SSJ4 Limit Breaker Broly.png,8200,[ Zenkai ],Broly can attain this state through sheer power alone with it being strongly implied that he gained the form was the result of several bouts of Saiyan Power from past defeat,res://card/battle/image/742x1122/45_SSJ4 Limit Breaker Broly.png
,Gogeta SSJ4 Limit Breaker,res://card/battle/image/46_Gogeta SSJ4 Limit Breaker.png,8500,[ Zenkai ],"Gogeta with this form was able to surpass Fu's Time Freeze before Fu accelerates time to defuse him sooner than expected. Unique to Xeno Gogeta, the hair lengthens further and takes on an appearance close to that of Super Saiyan 3",res://card/battle/image/742x1122/46_Gogeta SSJ4 Limit Breaker.png
,Vegito Super Saiyan Blue,res://card/battle/image/47_Vegito Super Saiyan Blue.png,8500,"[ Zenkai ] Kaioken x 20: Nâng sức mạnh tức thời của Vegito lên mức 11000 điểm sm. Tuy nhiên, hiệp sau chỉ còn lại 7000 điểm","The resulting fusion between Goku and Vegeta by the use of the Potara Earrings. Vegito wields tremendous power, and like his Fusion Dance counterpart Gogeta, he is regarded as one of the mightiest warriors",res://card/battle/image/742x1122/47_Vegito Super Saiyan Blue.png
,Gogeta SSGSS,res://card/battle/image/48_Gogeta SSGSS.png,8500,"[ Zenkai ] Blue evolved:  Đưa sức mạnh của gogeta vượt qua trạng thái blue thông thường với 11000 điểm sm. Tuy nhiên, hiệp sau chỉ còn lại 7000 điểm","Gogeta is the Metamoran fusion of Goku and Vegeta when they perform the Fusion Dance properly. Gogeta is an incredibly deadly warrior, and like his Potara counterpart Vegito",res://card/battle/image/742x1122/48_Gogeta SSGSS.png
,Goku Super Saiyan 5,res://card/battle/image/49_Goku Super Saiyan 5.png,9000,[ Zenkai ],The Mythical Transformation of Son Goku that transcend reality and history.,res://card/battle/image/742x1122/49_Goku Super Saiyan 5.png
,Black Frieza,res://card/battle/image/50_Black Frieza.png,10000,,"Frieza explains he was able to achieve the Black Frieza state when he discovered a Hyperbolic Time Chamber on a planet he conquered and trained within it for 10 years' worth of time, adding that it took plenty of toil to do so",res://card/battle/image/742x1122/50_Black Frieza.png
,Ultra Instict Yamcha,res://card/battle/image/51_Ultra Instict Yamcha.png,30000,"Không tính vào tổng sức mạnh, vẫn tính sức mạnh đối với những hiệu ứng Hakai hay tương tự","A former desert bandit, Yamcha was once an enemy of Goku, but quickly reformed and became a friend and ally. This is what happened when he used 0.001% of his true power",res://card/battle/image/742x1122/51_Ultra Instict Yamcha.png
